Unique_ID,Date,FileName,Time,CallType,MicUsed,StartTime,Start_duet_sec,Start_ambient_sec,Distance
4,6/15/2016,TOP_20160615_064553.wav,6:56:00,Duet,2,6:45:53,606,271,38.2
13,7/25/2016,TOP_20160725_050000.wav,6:58:00,Duet,1,5:00:00,7081.5,6594,43.4
7,7/10/2016,BOTTOM_20160710_050000.wav,6:55:00,Duet,2,5:00:00,6937.5,6832.5,64.1
9,7/11/2016,TOP_20160711_050000.wav,6:50:00,Duet,2,5:00:00,6646,6638,79.1
2,6/14/2016,TOP_20160614_064554.wav,9:21:50,Duet,2,6:45:54,9037,9019,89.9
16,7/11/2016,TOP_20160711_050000.wav,7:17:00,Duet,2,5:00:00,8134,8112,90.4
8,7/10/2016,BOTTOM_20160710_050000.wav,7:27:00,Duet,1,5:00:00,8867.5,8843,102.6
1,6/10/2016,TOP_20160610_032257.wav,6:39:00,Duet,2,3:22:57,11811,11800,104.9
17,7/23/2016,BOTTOM_20160723_050000.wav,6:55:00,Duet,2,5:00:00,6734,6671,112.3
12,7/23/2016,BOTTOM_20160723_050000.wav,6:18:00,Duet,2,5:00:00,4761,4827,113.2
3,6/14/2016,TOP_20160614_064554.wav,9:34:59,Duet,2,6:45:54,9320,9262,113.6
14,7/27/2016,BOTTOM_20160727_050000.wav,8:07:00,Duet,2,5:00:00,10919,10769,124.8
