Unique_ID,Date,Group,FileName,path,Observer Sample ID,Avistaje ID,AdLib ID,Time,Location,CallType,Accuracy,MicUsed,M,Deg,Loc_UTM_X,Loc_UTM_Y,Titis_UTM_X,Titis_UTM_Y,mean_x_proj_GPStrack,mean_y_proj_GPStrack,mean_latitude_GPStrack,mean_longitude_GPStrack,StartTime,Start_duet_sec,Start_ambient_sec,xdisp,ydisp,Distance
4,6/15/2016,L,TOP_20160615_064553.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS21093,AV27740,39793199,6:56:00,CD-16-040,Duet,GPS,2,0,0,371584.3,9929397.1,371584.3,9929398.1,371580.0824,9929400.191,-0.63860792,-76.15407004,6:45:53,606,271,0,1,38.2
13,7/25/2016,L,TOP_20160725_050000.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS30813,AV33731,39793430,6:58:00,CD-09-007,Duet,GPS,1,20,325,371634.2,9929344.3,371633.6264,9929345.119,371624.0562,9929344.178,-0.639114676,-76.15367502,5:00:00,7081.5,6594,-0.573576436,0.819152044,43.4
7,7/10/2016,L,BOTTOM_20160710_050000.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS30798,AV33647,39793425,6:55:00,CD-15-111,Duet,GPS,2,0,0,371663.8,9929353.3,371663.8,9929354.3,371660.4349,9929340.74,-0.639145849,-76.15334815,5:00:00,6937.5,6832.5,0,1,64.1
9,7/11/2016,L,TOP_20160711_050000.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS30799,AV33653,39793421,6:50:00,CD-16-053,Duet,GPS,2,0,0,371678.4,9929311.3,371678.4,9929312.3,371671.6171,9929330.637,-0.639237254,-76.15324769,5:00:00,6646,6638,0,1,79.1
2,6/14/2016,L,TOP_20160614_064554.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS21092,AV27738,39793188,9:21:50,CD-16-037,Duet,GPS,2,12,80,371521.2,9929377.8,371522.1848,9929377.974,371526.281,9929378.612,-0.638803009,-76.15455351,6:45:54,9037,9019,0.984807753,0.173648178,89.9
16,7/11/2016,L,TOP_20160711_050000.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS30799,AV33653,3.80E+08,7:17:00,CD-16-053,Duet,GPS,2,0,0,371678.4,9929311,371678.4,9929312,371674.961,9929318.418,-0.63934779,-76.15321767,5:00:00,8134,8112,0,1,90.4
8,7/10/2016,L,BOTTOM_20160710_050000.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS30798,AV33647,39793441,7:27:00,CD-15-067,Duet,GPS,1,0,0,371646.8,9929286.4,371646.8,9929287.4,371659.1162,9929293.754,-0.639570854,-76.1533601,5:00:00,8867.5,8843,0,1,102.6
1,6/10/2016,L,TOP_20160610_032257.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS21088,AV27727,39793209,6:39:00,Lago 500,Duet,GPS,2,8,330,371695.6,9929297.4,371695.1,9929298.266,371682.6487,9929305.853,-0.639461463,-76.15314862,3:22:57,11811,11800,-0.5,0.866025404,104.9
17,7/23/2016,L,BOTTOM_20160723_050000.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS30811,AV33717,39793424,6:55:00,CD-12-052,Duet,GPS,2,0,0,371684.9,9929305,371684.9,9929306,371684.8915,9929298.228,-0.639530439,-76.15312848,5:00:00,6734,6671,0,1,112.3
12,7/23/2016,L,BOTTOM_20160723_050000.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS30811,AV33717,39793416,6:18:00,CD-16-044,Duet,GPS,2,0,0,371690.5,9929302.7,371690.5,9929303.7,371693.1434,9929304.06,-0.639477703,-76.15305432,5:00:00,4761,4827,0,1,113.2
3,6/14/2016,L,TOP_20160614_064554.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS21092,AV27738,39793187,9:34:59,CD-12-083,Duet,GPS,2,0,0,371796.5,9929433.5,371796.5,9929434.5,371505.9313,9929357.917,-0.638990156,-76.1547364,6:45:54,9320,9262,0,1,113.6
14,7/27/2016,L,BOTTOM_20160727_050000.wav,C:/Users/Silvy/Box/Austin/Tiputini/Acoustics/Distance_CalliL_SM2_Summer_2016,OS30815,AV33741,39793509,8:07:00,CD-15-064,Duet,GPS,2,10,195,371606.9,9929268,371606.6412,9929267.034,371607.9164,9929262.18,-0.639856355,-76.15382021,5:00:00,10919,10769,-0.258819045,-0.965925826,124.8
